            Guess        True
0      389.421387  389.509089
1      339.681396  339.791616
2      429.519531  429.585479
3      313.576965  313.527108
4      427.112854  427.211403
5      324.220001  324.226926
6      360.558411  360.633388
7      311.505798  311.462622
8      311.856537  311.826868
9      428.274902  428.200212
10     310.157318  310.191704
11     422.258636  422.423209
12     310.419403  310.484434
13     325.209412  325.221930
14     313.907379  313.893084
15     322.774231  322.634708
16     333.591888  333.664844
17     320.874939  320.879912
18     422.096680  421.958627
19     343.462585  343.563358
20     310.741180  310.730242
21     351.729584  351.820075
22     319.357788  319.334516
23     311.438690  311.399885
24     319.352966  319.331549
25     323.670624  323.695557
26     345.120056  345.161572
27     421.916870  422.041581
28     310.712860  310.642570
29     368.661682  368.676517
30     317.211792  317.247464
31     371.858246  371.906949
32     310.500977  310.500133
33     310.828339  310.805963
34     333.675659  333.741204
35     433.597382  433.594806
36     349.147278  349.189905
37     315.334961  315.285529
38     325.371765  325.409691
39     430.283752  430.267318
40     320.728241  320.715180
41     333.676666  333.755013
42     331.036407  331.134085
43     393.299835  393.387560
44     313.400269  313.386358
45     311.786194  311.779065
46     410.306396  410.421578
47     313.438873  313.510660
48     311.370911  311.332866
49     323.312592  323.316286
50     353.054169  353.242116
51     355.008698  355.106054
52     428.233459  428.399457
53     319.352264  319.353167
54     389.693909  389.774287
55     312.247192  312.233605
56     325.107239  325.122323
57     314.314819  314.288096
58     331.495697  331.551747
59     321.479523  321.477968
60     338.975403  339.073865
61     310.470367  310.478301
62     312.997314  312.962555
63     367.124939  367.145336
64     367.673950  367.792472
65     310.393341  310.381877
66     375.877228  375.914418
67     359.160461  359.180312
68     431.607483  431.575436
69     315.808228  315.612308
70     311.817841  311.810596
71     413.858429  414.102030
72     310.517822  310.503767
73     315.440918  315.423100
74     310.912140  310.884369
75     323.307800  323.309566
76     361.524597  361.551530
77     433.986908  434.033745
78     310.549133  310.512050
79     332.166168  332.226365
80     320.813416  320.800942
81     310.235352  310.235947
82     325.577789  325.601944
83     312.379181  312.364280
84     331.548157  331.615344
85     351.001587  351.055497
86     355.673401  355.720094
87     312.873657  312.838507
88     414.047363  414.212702
89     319.286407  319.269841
90     326.245575  326.341088
91     388.997253  389.141789
92     363.965515  364.083909
93     310.661713  310.655823
94     311.680908  311.615833
