            Guess        True
0      405.886871  405.895903
1      311.523071  311.937452
2      348.376221  348.689678
3      357.621033  358.328899
4      413.172974  413.114912
5      383.202362  383.797252
6      415.543762  415.668406
7      333.082855  333.528327
8      410.552979  410.509350
9      354.588593  354.773764
10     426.657440  426.452870
11     350.700378  350.627327
12     352.889832  352.549358
13     403.406403  403.769909
14     409.324768  409.493124
15     346.580444  346.903420
16     316.024078  315.100882
17     416.207062  414.555563
18     346.866486  347.192591
19     419.383759  419.402306
20     387.115570  387.069944
21     428.423431  428.080230
22     415.597137  415.445977
23     367.686951  367.622715
24     422.800903  422.680337
25     409.917358  409.987157
26     423.381348  423.250918
27     426.607117  426.392267
28     419.742889  419.733922
29     343.162109  342.633545
30     409.563477  408.274887
31     427.412598  427.178569
32     341.524017  340.964918
33     360.869080  361.067471
34     423.986725  423.828420
35     382.841736  383.114817
36     408.502319  408.379212
37     352.695190  352.865823
38     412.298126  412.504014
39     357.867249  358.067750
40     424.154327  424.012689
41     339.494019  338.918625
42     426.885529  426.673198
43     391.599030  391.520243
44     423.883118  423.748190
45     398.578308  399.193554
46     425.167175  424.967331
47     366.038879  365.983429
48     331.790314  332.093799
49     417.749023  417.845586
50     363.326294  363.408488
51     409.693756  409.577033
52     414.649231  414.558058
53     412.898376  412.990198
54     425.869354  425.687079
55     399.990051  400.411602
56     395.616913  395.532898
57     370.357666  370.447007
58     407.407379  407.208199
59     396.857330  396.874511
60     421.006836  420.403269
61     397.982330  398.548359
62     397.706604  397.427343
63     401.971344  402.230920
64     423.697968  423.563875
65     423.691925  423.558071
66     426.425903  426.209017
67     374.129669  374.215761
68     389.958771  389.873944
69     390.529327  390.342866
70     427.446991  427.210557
71     311.649536  311.072134
72     344.510468  344.267876
73     426.448975  426.242781
74     410.115692  408.816352
75     407.961243  408.021162
76     422.919464  422.130068
77     354.359741  353.931686
78     424.906250  424.734042
79     424.260162  424.093292
80     400.361053  400.303160
81     410.414642  410.214747
82     412.108459  410.075650
83     324.042145  323.520479
84     413.541199  410.803054
85     427.281952  427.040921
86     345.086914  344.871374
87     334.625641  335.056313
88     352.286133  352.487698
89     427.314606  427.049245
