            Guess        True
0      404.952332  405.895903
1      311.910553  311.937452
2      348.586029  348.689678
3      357.073578  358.328899
4      413.242584  413.114912
5      382.632446  383.797252
6      416.084442  415.668406
7      333.362335  333.528327
8      410.750275  410.509350
9      354.709412  354.773764
10     426.691528  426.452870
11     350.653076  350.627327
12     352.723022  352.549358
13     402.562988  403.769909
14     409.397552  409.493124
15     346.800323  346.903420
16     315.496399  315.100882
17     415.151581  414.555563
18     347.075958  347.192591
19     420.020630  419.402306
20     387.236359  387.069944
21     428.066833  428.080230
22     415.881226  415.445977
23     367.713501  367.622715
24     423.198425  422.680337
25     410.000854  409.987157
26     423.740143  423.250918
27     426.555786  426.392267
28     420.076874  419.733922
29     342.952271  342.633545
30     408.345917  408.274887
31     427.297241  427.178569
32     341.413177  340.964918
33     361.020844  361.067471
34     424.337830  423.828420
35     382.588776  383.114817
36     407.755157  408.379212
37     352.801880  352.865823
38     412.623291  412.504014
39     358.044830  358.067750
40     424.531982  424.012689
41     339.273651  338.918625
42     426.804779  426.673198
43     391.726807  391.520243
44     423.818970  423.748190
45     397.977173  399.193554
46     425.378479  424.967331
47     365.937378  365.983429
48     331.971130  332.093799
49     418.342682  417.845586
50     363.410400  363.408488
51     409.810394  409.577033
52     414.999512  414.558058
53     413.247742  412.990198
54     426.037109  425.687079
55     399.589478  400.411602
56     395.613892  395.532898
57     370.484192  370.447007
58     406.475037  407.208199
59     396.936035  396.874511
60     420.416565  420.403269
61     397.420593  398.548359
62     397.340485  397.427343
63     401.732849  402.230920
64     424.053650  423.563875
65     424.048706  423.558071
66     426.407898  426.209017
67     374.255768  374.215761
68     390.061188  389.873944
69     390.416656  390.342866
70     427.329956  427.210557
71     311.297333  311.072134
72     344.282471  344.267876
73     426.543884  426.242781
74     409.069672  408.816352
75     407.335052  408.021162
76     422.973969  422.130068
77     354.277893  353.931686
78     425.180969  424.734042
79     424.583160  424.093292
80     400.493134  400.303160
81     410.208862  410.214747
82     411.130585  410.075650
83     324.102844  323.520479
84     412.285034  410.803054
85     427.031921  427.040921
86     345.129547  344.871374
87     334.896912  335.056313
88     352.412445  352.487698
89     427.267426  427.049245
90     388.702942  389.488481
91     399.478882  399.656535
92     348.178802  347.786636
93     425.770477  425.423125
94     364.400238  364.416645
95     410.804108  410.719306
96     417.876160  417.667986
97     427.139923  427.307991
98     386.004089  386.730848
99     385.206696  384.979131
100    422.690613  422.252770
101    425.356445  424.915989
102    373.261993  373.355229
103    406.939850  407.588746
104    423.887207  423.354600
105    425.604675  425.258851
106    363.981445  364.865207
107    412.289185  418.358049
108    369.375000  369.205622
109    405.158081  405.516088
110    427.204315  427.202583
111    410.638062  410.760136
112    381.379150  381.317258
113    369.623077  369.492370
114    408.458923  408.994339
115    391.973511  391.889643
116    365.929993  365.875326
117    371.975952  373.142834
118    356.504578  356.267054
119    422.683655  422.244011
120    424.785339  424.280972
121    321.318726  321.262258
122    401.881012  401.718706
123    317.211182  317.299336
124    376.429932  377.252826
125    406.448059  406.842147
126    427.171448  427.166071
127    326.268768  329.006320
128    424.866119  424.388628
129    411.773071  410.519603
