            Guess        True
0      405.696472  405.895903
1      311.566772  311.937452
2      348.428894  348.689678
3      357.577087  358.328899
4      413.200623  413.114912
5      383.249146  383.797252
6      415.853638  415.668406
7      333.158325  333.528327
8      410.717133  410.509350
9      354.628510  354.773764
10     426.620483  426.452870
11     350.654144  350.627327
12     352.668457  352.549358
13     403.371887  403.769909
14     424.510895  428.200212
15     409.518463  409.493124
16     346.631714  346.903420
17     315.053772  315.100882
18     415.081696  414.555563
19     346.925659  347.192591
20     416.889404  421.958627
21     419.654480  419.402306
22     387.156677  387.069944
23     428.089966  428.080230
24     415.729309  415.445977
25     367.675079  367.622715
26     423.013184  422.680337
27     410.081970  409.987157
28     423.579285  423.250918
29     426.445984  426.392267
30     419.989746  419.733922
31     342.749725  342.633545
32     409.014038  408.274887
33     427.266907  427.178569
34     341.186829  340.964918
35     360.907410  361.067471
36     424.074646  423.828420
37     382.986206  383.114817
38     408.354248  408.379212
39     352.733154  352.865823
40     412.593475  412.504014
41     357.889954  358.067750
42     424.241852  424.012689
43     339.022675  338.918625
44     316.058258  315.612308
45     426.723938  426.673198
46     391.728760  391.520243
47     422.692047  423.748190
48     398.648010  399.193554
49     425.203766  424.967331
50     366.185242  365.983429
51     331.893311  332.093799
52     418.094818  417.845586
53     363.353943  363.408488
54     409.787720  409.577033
55     414.837372  414.558058
56     413.133392  412.990198
57     425.942932  425.687079
58     400.142029  400.411602
59     395.601044  395.532898
60     370.358429  370.447007
61     407.311096  407.208199
62     397.032166  396.874511
63     419.552643  420.403269
64     398.054108  398.548359
65     397.408539  397.427343
66     402.167847  402.230920
67     423.888702  423.563875
68     423.882812  423.558071
69     426.289337  426.209017
70     374.138428  374.215761
71     390.088013  389.873944
72     390.422028  390.342866
73     427.298340  427.210557
74     311.101074  311.072134
75     344.673004  344.267876
76     426.467712  426.242781
77     409.735870  408.816352
78     407.922791  408.021162
79     422.077271  422.130068
80     354.193512  353.931686
81     424.933228  424.734042
82     424.332581  424.093292
83     400.440063  400.303160
84     410.219147  410.214747
85     411.580048  410.075650
86     324.022705  323.520479
87     412.584930  410.803054
88     427.007202  427.040921
89     345.017700  344.871374
90     334.697449  335.056313
91     352.329681  352.487698
92     427.229034  427.049245
93     389.229095  389.488481
94     399.734772  399.656535
95     348.086670  347.786636
96     425.605835  425.423125
97     364.638702  364.416645
98     410.839905  410.719306
99     417.829834  417.667986
100    427.175842  427.307991
101    386.487793  386.730848
102    385.196228  384.979131
103    422.576141  422.252770
104    424.452393  424.851086
105    425.162476  424.915989
106    373.516235  373.355229
107    407.415802  407.588746
108    423.615662  423.354600
109    425.538940  425.258851
110    364.587799  364.865207
111    411.905090  418.358049
112    369.311279  369.205622
