            Guess        True
0      357.132233  356.946408
1      330.343140  330.307013
2      396.224213  395.954034
3      377.681152  377.496390
4      311.836609  311.990432
5      349.935272  350.052320
6      313.765564  313.716335
7      375.651917  375.471847
8      351.642822  351.651887
9      416.603485  416.628991
10     380.811066  380.690751
11     420.816040  420.613071
12     321.658142  321.593319
13     334.182495  334.334972
14     416.419800  416.196209
15     356.477936  356.556989
16     430.597107  430.596289
17     340.126068  340.145061
18     352.508545  352.558676
19     355.016052  355.009316
20     398.309113  398.018642
21     311.798553  311.775561
22     312.152161  312.143390
23     379.199463  379.128140
24     414.516846  414.198914
25     310.256012  310.211156
26     372.493622  372.358513
27     348.058197  348.177807
28     310.425110  310.388332
29     315.400604  315.454792
30     390.977814  390.759482
31     322.316956  322.250362
32     313.821594  313.832698
33     316.668488  316.812661
34     327.573608  327.504482
35     319.226440  319.200924
36     348.402527  348.527064
37     376.846069  376.768578
38     333.303864  333.234864
39     310.854675  310.862155
40     337.855194  337.786925
41     318.278320  318.225894
42     424.518250  424.379501
43     311.743866  311.710798
44     390.535217  390.520943
45     318.272675  318.222916
46     431.805511  431.853633
47     321.262726  321.224583
48     332.492401  332.484134
49     421.197784  421.037403
50     370.325348  370.310375
51     372.719940  372.532413
52     310.617920  310.623679
53     346.819946  346.669297
54     314.885468  314.876878
55     427.559448  427.426380
56     348.580444  348.362703
57     310.687439  310.661461
58     311.076691  311.049168
59     327.663696  327.568903
60     380.595337  380.431205
61     334.709473  334.709880
62     415.440308  415.137380
63     428.051575  427.930049
64     315.226501  315.174292
65     322.354584  322.305941
66     430.560486  430.529952
67     424.935303  424.890804
68     380.799774  380.594486
69     319.205505  319.186300
70     323.667053  323.774886
71     344.823273  344.835030
72     321.579437  321.716182
73     359.139923  358.856368
74     397.409729  397.080940
75     313.083771  313.110453
76     312.022827  312.008912
77     367.150940  366.901519
78     312.568390  312.532212
79     311.388519  311.415774
80     431.153229  431.185954
81     321.067261  320.992640
82     334.077881  334.171093
83     343.380951  343.382919
84     336.375397  336.419893
85     375.391846  375.267104
86     317.975494  317.963439
87     357.394806  357.122853
88     312.257477  312.294888
89     362.919037  362.984091
90     428.386353  428.292998
91     322.195465  322.159036
92     314.374359  314.348273
93     385.685150  385.543382
94     326.276337  326.216950
95     319.747925  319.709407
96     406.282745  405.836340
97     330.735443  330.673203
98     354.525543  354.608656
99     310.663116  310.635191
100    417.385651  417.120908
101    313.237457  313.212300
102    345.999176  345.867576
103    359.605865  359.679023
104    343.958130  343.975351
105    310.518036  310.487660
106    350.383392  350.259015
107    428.539856  428.489009
108    341.877258  341.753441
109    380.001434  379.930506
110    340.904053  340.921821
111    312.889496  313.034880
112    311.929169  311.955646
113    430.754395  430.766895
114    367.656464  367.600753
115    396.832001  396.707889
116    386.993744  386.761629
117    310.705383  310.670701
118    315.071960  315.079276
119    394.597595  394.421854
120    311.168213  311.141916
121    429.357880  429.292210
122    321.056244  320.986318
123    343.046204  342.951730
124    379.479614  379.346522
125    310.589478  310.576535
126    326.688385  326.627419
127    319.341034  319.270131
128    310.284515  310.259799
129    369.160431  369.087746
130    322.510162  322.463431
